CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,40,2028,21259435430.61911,3935863891.190888,7805924767.95367,-3870060876.7627816,2951897918.393166
0000002969,41,2024,16630844743.129923,3078950121.611045,6106423819.017163,-3027473697.4061184,2309212591.2082834
0000002969,41,2025,21545540652.232773,3988831958.6875696,7910975339.165848,-3922143380.478278,2991623969.0156775
0000002969,41,2026,29664475000.747334,5491930224.939943,10892041836.782335,-5400111611.842392,4118947668.7049575
0000002969,41,2027,39092836130.93687,7237449114.494953,14353896593.34653,-7116447478.851578,5428086835.871215
0000002969,41,2028,49350325065.557915,9136468514.319597,18120186022.483894,-8983717508.164297,6852351385.739698
0000002969,42,2024,12878853891.897186,2384325593.145124,4728788067.101042,-2344462473.955918,1788244194.8588428
0000002969,42,2025,13509984912.715641,2501169984.594585,4960523349.22124,-2459353364.626655,1875877488.4459386
0000002969,42,2026,11927800749.56177,2208252445.1192646,4379585506.966076,-2171333061.8468113,1656189333.8394485
0000002969,42,2027,12331045493.141747,2282907128.7183924,4527646735.672298,-2244739606.953906,1712180346.5387943
0000002969,42,2028,14869400351.524004,2752845253.968257,5459666173.51513,-2706820919.546873,2064633940.4761927
0000002969,43,2024,15630938310.554321,2893832523.573814,5739283571.424484,-2845451047.8506703,2170374392.6803603
0000002969,43,2025,20805152387.804844,3851760236.1136785,7639123571.979389,-3787363335.8657107,2888820177.085259
0000002969,43,2026,22258920406.953785,4120903462.9604034,8172910267.518331,-4052006804.557927,3090677597.2203026
0000002969,43,2027,24887512937.032547,4607547732.39808,9138062686.657726,-4530514954.259646,3455660799.29856
0000002969,43,2028,29972515886.673107,5548959349.908122,11005146626.833685,-5456187276.925563,4161719512.4310913
0000002969,44,2024,15558933153.579899,2880501854.5520496,5712845106.485875,-2832343251.9338255,2160376390.914037
0000002969,44,2025,18561367285.694004,3436357259.312571,6815262667.502756,-3378905408.190185,2577267944.4844284
0000002969,44,2026,22135269970.66469,4098011449.2515483,8127508967.641515,-4029497518.3899665,3073508586.938661
0000002969,44,2027,18081735187.432648,3347560608.8669944,6639153942.15384,-3291593333.2868457,2510670456.6502457
0000002969,44,2028,22446402230.119823,4155612895.4127383,8241748831.541772,-4086135936.1290336,3116709671.5595536
0000002969,45,2024,13130836851.433714,2430976438.3602715,4821309810.275629,-2390333371.9153576,1823232328.7702036
0000002969,45,2025,14899869298.087423,2758486119.972105,5470853596.878701,-2712367476.906596,2068864589.9790788
0000002969,45,2026,19443012050.35985,3599580492.847176,7138980234.109904,-3539399741.262728,2699685369.635382
0000002969,45,2027,13139720778.695196,2432621163.5287523,4824571762.742496,-2391950599.213743,1824465872.6465642
0000002969,45,2028,11885641229.585512,2200447245.7344537,4364105601.948762,-2163658356.2143083,1650335434.3008404
0000002969,46,2024,11155601513.164064,2065291400.774429,4096053558.770017,-2030762157.995588,1548968550.5808218
0000002969,46,2025,12765230563.063484,2363289947.1792207,4687068466.42515,-2323778519.2459292,1772467460.3844156
0000002969,46,2026,11379654866.82047,2106771500.6215959,4178320259.988747,-2071548759.3671513,1580078625.466197
0000002969,46,2027,12034265403.9522,2227962770.4602613,4418676624.194004,-2190713853.7337427,1670972077.845196
0000002969,46,2028,14211317987.40263,2631011227.7154055,5218035042.612659,-2587023814.897254,1973258420.786554
0000002969,47,2024,13933971058.76982,2579664626.094631,5116200294.150212,-2536535668.055581,1934748469.5709734
0000002969,47,2025,16896152287.279915,3128067812.7410994,6203838011.2596655,-3075770198.518566,2346050859.5558243
0000002969,47,2026,20109596172.311,3722988491.3611,7383732994.569809,-3660744503.208709,2792241368.5208254
0000002969,47,2027,19471161830.605854,3604792000.1789103,7149316118.501183,-3544524118.3222723,2703594000.134183
0000002969,47,2028,15900813690.394947,2943795880.6019273,5838374956.924061,-2894579076.3221335,2207846910.4514456
0000002969,48,2024,11945165015.898542,2211467177.189407,4385961224.5676985,-2174494047.3782916,1658600382.892055
0000002969,48,2025,12816095895.445269,2372706896.452791,4705744924.657776,-2333038028.2049847,1779530172.3395934
0000002969,48,2026,15354792239.560867,2842708242.636796,5637889747.389236,-2795181504.7524405,2132031181.977597
0000002969,48,2027,14629972493.310778,2708518796.440162,5371754344.686744,-2663235548.2465816,2031389097.3301215
0000002969,48,2028,13166018596.689054,2437489807.975917,4834227653.628748,-2396737845.652831,1828117355.9819376
0000002969,49,2024,12382048635.281816,2292349591.390626,4546373794.148237,-2254024202.7576113,1719262193.5429695
0000002969,49,2025,13738679439.885529,2543509327.7318225,5044494171.4830475,-2500984843.751225,1907631995.7988667
0000002969,49,2026,15028753349.238316,2782347058.553033,5518176547.215566,-2735829488.662533,2086760293.9147747
0000002969,49,2027,14796707038.255737,2739387183.185647,5432975035.0624075,-2693587851.8767605,2054540387.3892353
0000002969,49,2028,15087050069.415459,2793139817.2163043,5539581622.312989,-2746441805.096685,2094854862.912228
0000002969,50,2024,14855737207.620958,2750315728.906143,5454649414.074411,-2704333685.168268,2062736796.6796074
0000002969,50,2025,20991779713.859203,3886311471.31106,7707648386.364937,-3821336915.053877,2914733603.483295
0000002969,50,2026,20778859783.705074,3846892556.9403825,7629469595.50263,-3782577038.5622478,2885169417.705287
0000002969,50,2027,15890271046.115337,2941844068.9899397,5834503965.694284,-2892659896.7043447,2206383051.7424545
0000002969,50,2028,17529333793.86889,3245291820.7109485,6436326179.678969,-3191034358.968021,2433968865.533211
0000002969,51,2024,13755729598.328617,2546665907.4619966,5050754556.643453,-2504088649.181456,1909999430.5964975
0000002969,51,2025,15592101629.348288,2886642497.681011,5725023728.41404,-2838381230.7330284,2164981873.2607584
0000002969,51,2026,15260616054.095524,2825272942.01497,5603310643.862501,-2778037701.8475313,2118954706.5112274
0000002969,51,2027,18857013468.99872,3491091691.9947066,6923816437.53775,-3432724745.5430436,2618318768.99603
0000002969,51,2028,22012135823.90856,4075215018.7644043,8082297236.169091,-4007082217.404687,3056411264.073303
0000002969,52,2024,12629841279.858953,2338224662.978331,4637356960.090432,-2299132297.112101,1753668497.2337484
0000002969,52,2025,14984937831.330524,2774235276.122596,5502088601.814883,-2727853325.6922874,2080676457.0919468
0000002969,52,2026,16994816386.201529,3146333982.864468,6240064962.628789,-3093730979.764321,2359750487.148351
0000002969,52,2027,21086803155.939857,3903903628.7191186,7742538581.003185,-3838634952.2840667,2927927721.539339
0000002969,52,2028,23513301952.32104,4353133290.807879,8633487313.668098,-4280354022.860219,3264849968.1059093
0000002969,53,2024,13732080071.758795,2542287554.237439,5042071051.109911,-2499783496.872472,1906715665.6780794
0000002969,53,2025,17703719463.17255,3277576697.757349,6500356168.604878,-3222779470.8475294,2458182523.3180118
0000002969,53,2026,15024188928.99146,2781502024.9728866,5516500608.022705,-2734998583.0498185,2086126518.7296648
